ProductCode,Quantity,AverageCost,Location,Bin,BatchOrSerialNumber,ExpiryDate_YYYYMMDD,ReceivedDate_YYYYMMDD
180DGCON,260,0.0001,AFI Branding,,,,20170913
90DGCNR,300,0.0001,AFI Branding,,,,20170913
B3-FIXEDCROSSBASE,247,0.0001,AFI Branding,,,,20170913
B3-GROUNDSPIKE,240,0.0001,AFI Branding,,,,20170913
B3-LRG-KIT,465,0.0001,AFI Branding,,,,20170913
B3-MED-KIT,234,0.0001,AFI Branding,,,,20170913
B3-SML-KIT,417,0.0001,AFI Branding,,,,20170913
BACKLITPOLY-I,0,0.0001,AFI Branding,,,,20170913
BACKLITPOLY-NI,0,0.0001,AFI Branding,,,,20170913
BH-HSB-LRG,518,0.0001,AFI Branding,,,,20170913
BH-HSB-SML-MED,276,0.0001,AFI Branding,,,,20170913
BH-LRG-KIT,110,0.0001,AFI Branding,,,,20170913
BH-MED-KIT,183,0.0001,AFI Branding,,,,20170913
BH-SML-KIT,100,0.0001,AFI Branding,,,,20170913
BL4.2,188,0.0001,AFI Branding,,,,20170913
BLACKOUT,9800,0.0001,AFI Branding,,,,20170913
BLOTTER,1200,0.0001,AFI Branding,,,,20170913
BR001,183,0.0001,AFI Branding,,,,20170913
BR301,1800,0.0001,AFI Branding,,,,20170913
BTEX,1500,0.0001,AFI Branding,,,,20170913
BTEX2.5,500,0.0001,AFI Branding,,,,20170913
CB003,3500,0.0001,AFI Branding,,,,20170913
CM-BL08-550,4860,0.0001,AFI Branding,,,,20170913
DIB,1,0.0001,AFI Branding,,,,20170913
DIC,3,0.0001,AFI Branding,,,,20170913
DILC,1,0.0001,AFI Branding,,,,20170913
DILM,2,0.0001,AFI Branding,,,,20170913
DIM,1,0.0001,AFI Branding,,,,20170913
DIY,2,0.0001,AFI Branding,,,,20170913
DR-01-100,0,0.0001,AFI Branding,,,,20170913
DR-03-85,50,0.0001,AFI Branding,,,,20170913
DR-10A-100,0,0.0001,AFI Branding,,,,20170913
DR-10A-85,17,0.0001,AFI Branding,,,,20170913
DS020BLK,130,0.0001,AFI Branding,,,,20170913
DS101,156,0.0001,AFI Branding,,,,20170913
DS102,182,0.0001,AFI Branding,,,,20170913
DS103,617.5,0.0001,AFI Branding,,,,20170913
DS105,213.5,0.0001,AFI Branding,,,,20170913
DS110,52,0.0001,AFI Branding,,,,20170913
DTECFLB5101370X50,200,0.0001,AFI Branding,,,,20170913
DTECFLB5101600X50,300,0.0001,AFI Branding,,,,20170913
