postcode,zone
800,DARWIN
801,DARWIN
804,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
810,DARWIN
811,DARWIN
812,DARWIN
812,DARWIN
812,DARWIN
812,DARWIN
812,DARWIN
812,DARWIN
812,DARWIN
812,DARWIN
812,DARWIN
813,DARWIN
814,DARWIN
815,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
820,DARWIN
821,DARWIN
822,DARWIN
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTA Zone
822,NTB Zone
822,NTB Zone
822,NTB Zone
822,NTB Zone
822,NTB Zone
822,NTB Zone
822,NTB Zone
822,NTB Zone
822,NTC Zone
822,NTC Zone
822,NTC Zone
822,NTC Zone
822,NTC Zone
822,NTD Zone
822,NTE Zone
822,NTE Zone
822,NTE Zone
828,DARWIN
828,DARWIN
829,DARWIN
830,DARWIN
830,DARWIN
830,DARWIN
830,DARWIN
830,DARWIN
830,DARWIN
830,DARWIN
830,DARWIN
830,DARWIN
830,DARWIN
830,DARWIN
831,DARWIN
832,DARWIN
832,DARWIN
832,DARWIN
832,DARWIN
832,DARWIN
832,DARWIN
835,NTA Zone
835,NTA Zone
835,NTA Zone
836,NTA Zone
836,NTA Zone
836,NTA Zone
837,NTA Zone
837,NTA Zone
838,NTA Zone
840,NTB Zone
840,NTB Zone
840,NTB Zone
841,NTA Zone
845,NTA Zone
846,NTB Zone
847,NTC Zone
850,NTC Zone
851,NTC Zone
852,NTC Zone
852,NTC Zone
852,NTC Zone
852,NTC Zone
852,NTC Zone
852,NTC Zone
852,NTC Zone
852,NTC Zone
852,NTC Zone
852,NTD Zone
852,NTD Zone
852,NTD Zone
852,NTD Zone
852,NTD Zone
852,NTD Zone
852,NTE Zone
852,NTE Zone
852,NTE Zone
853,NTC Zone
854,NTE Zone
854,NTF Zone
860,NTE Zone
861,NTE Zone
861,NTE Zone
862,NTD Zone
862,NTD Zone
862,NTE Zone
862,NTE Zone
862,NTE Zone
862,NTE Zone
862,NTE Zone
862,NTE Zone
862,NTF Zone
862,NTF Zone
862,NTF Zone
862,NTF Zone
862,NTF Zone
870,NTF Zone
871,NTF Zone
872,NTD Zone
872,NTF Zone
872,NTF Zone
872,NTF Zone
872,NTF Zone
872,NTF Zone
872,NTF Zone
872,NTF Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTG Zone
872,NTH Zone
872,NTH Zone
872,NTH Zone
880,NTE Zone
880,NTF Zone
880,NTF Zone
880,NTF Zone
881,NTF Zone
885,NTD Zone
886,NTC Zone
1765,SYDNEY
1825,SYDNEY
2000,SYDNEY
2000,SYDNEY
2000,SYDNEY
2000,SYDNEY
2000,SYDNEY
2000,SYDNEY
2000,SYDNEY
2000,SYDNEY
2001,SYDNEY
2004,SYDNEY
2004,SYDNEY
2006,SYDNEY
2007,SYDNEY
2007,SYDNEY
2008,SYDNEY
2008,SYDNEY
2008,SYDNEY
2009,SYDNEY
2009,SYDNEY
2010,SYDNEY
2010,SYDNEY
2010,SYDNEY
2011,SYDNEY
2011,SYDNEY
2011,SYDNEY
2011,SYDNEY
2011,SYDNEY
2011,SYDNEY
2012,SYDNEY
2013,SYDNEY
2015,SYDNEY
2015,SYDNEY
2015,SYDNEY
2016,SYDNEY
2017,SYDNEY
2017,SYDNEY
2018,SYDNEY
2018,SYDNEY
2019,SYDNEY
2019,SYDNEY
2020,SYDNEY
2020,SYDNEY
2020,SYDNEY
2021,SYDNEY
2021,SYDNEY
2021,SYDNEY
2022,SYDNEY
2022,SYDNEY
2022,SYDNEY
2023,SYDNEY
2024,SYDNEY
2024,SYDNEY
2024,SYDNEY
2025,SYDNEY
2026,SYDNEY
2026,SYDNEY
2026,SYDNEY
2026,SYDNEY
2026,SYDNEY
2027,SYDNEY
2027,SYDNEY
2027,SYDNEY
2027,SYDNEY
2028,SYDNEY
2029,SYDNEY
2030,SYDNEY
2030,SYDNEY
2030,SYDNEY
2030,SYDNEY
2030,SYDNEY
2030,SYDNEY
2031,SYDNEY
2031,SYDNEY
2031,SYDNEY
2031,SYDNEY
2032,SYDNEY
2032,SYDNEY
2033,SYDNEY
2034,SYDNEY
2034,SYDNEY
2035,SYDNEY
2035,SYDNEY
2035,SYDNEY
2036,SYDNEY
2036,SYDNEY
2036,SYDNEY
2036,SYDNEY
2036,SYDNEY
2036,SYDNEY
2036,SYDNEY
2036,SYDNEY
2036,SYDNEY
2037,SYDNEY
2037,SYDNEY
2038,SYDNEY
2039,SYDNEY
2040,SYDNEY
2040,SYDNEY
2041,SYDNEY
2041,SYDNEY
2041,SYDNEY
2042,SYDNEY
2042,SYDNEY
2043,SYDNEY
2044,SYDNEY
2044,SYDNEY
2044,SYDNEY
2045,SYDNEY
2046,SYDNEY
2046,SYDNEY
2046,SYDNEY
2046,SYDNEY
2046,SYDNEY
2046,SYDNEY
2046,SYDNEY
2047,SYDNEY
2048,SYDNEY
2048,SYDNEY
2049,SYDNEY
2049,SYDNEY
2049,SYDNEY
2050,SYDNEY
2050,SYDNEY
2052,SYDNEY
2055,SYDNEY
2057,SYDNEY
2058,SYDNEY
2059,SYDNEY
2060,SYDNEY
2060,SYDNEY
2060,SYDNEY
2060,SYDNEY
2060,SYDNEY
2060,SYDNEY
2060,SYDNEY
2061,SYDNEY
2061,SYDNEY
2062,SYDNEY
2063,SYDNEY
2064,SYDNEY
2065,SYDNEY
2065,SYDNEY
2065,SYDNEY
2065,SYDNEY
2065,SYDNEY
2065,SYDNEY
2065,SYDNEY
2066,SYDNEY
2066,SYDNEY
2066,SYDNEY
2066,SYDNEY
2066,SYDNEY
2066,SYDNEY
2066,SYDNEY
2066,SYDNEY
2067,SYDNEY
2067,SYDNEY
2068,SYDNEY
2068,SYDNEY
2068,SYDNEY
2068,SYDNEY
2069,SYDNEY
2069,SYDNEY
2069,SYDNEY
2070,SYDNEY
2070,SYDNEY
2070,SYDNEY
2071,SYDNEY
2072,SYDNEY
2073,SYDNEY
2073,SYDNEY
2074,SYDNEY
2074,SYDNEY
2074,SYDNEY
2074,SYDNEY
2074,SYDNEY
2075,SYDNEY
2075,SYDNEY
2075,SYDNEY
2076,SYDNEY
2076,SYDNEY
2077,SYDNEY
2077,SYDNEY
2077,SYDNEY
2077,SYDNEY
2079,SYDNEY
2080,SYDNEY
2081,SYDNEY
2081,SYDNEY
