,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gold Coast  2018 Functional Area Signage WIP,,,,,,,,,,FA Reviewed,,,Changed term - need to update FA,Validated on CAD,,Moved to WF,,Follow up - see comment ,Confirmed with FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
This document aims to set out the Functional Area Signage provided to each FA 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,COMPETITION VENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC,MAIN MEDIA CENTRE,,AIRPORTS,,,,VILLAGES,,,,,HOTELS,,,,,,TPT,VSP,GHQ,DEPOTS (GOLDOC),,,,TOTAL,
,,,,,,,,,,Tot,,,,,,,Belmont Shooting Centre,Broadbeach Bowls Club,Cairns Convention Centre,Carrara Precinct,Carrara Sports and Leisure Centre,Carrara Stadium,Carrara Sport Hall 1,Carrara Sports Hall 2,Coolangatta Beachfront,Coomera Indoor Sports Centre,Currumbin Beachfront,Gold Coast Aquatic Centre,Gold Coast Convention and Exhibition Centre,Gold Coast Hockey Centre,Nerang Mountain Bike Trails ,Oxenford Studios,Oxenford Studio - Boxing ,Oxenford Studios - Squash ,Oxenford Studios - Table Tennis ,Queensland State Velodrome,Robina Stadium,Southport Broadwater Parklands,Townsville Entertainment and Convention Centre,,Bond University,Gold Coast Turf Club ,Griffith University Sports Centre,,Cairns Basketball Stadium,Musgrave Hill Bowls Club,Oxenford Studios,Parkwood Sharks Oval,Runaway Bay Indoor Stadium,Runaway Bay Sports Super Centre,St Hilda's College,,The Southport School,,Townsville RSL Stadium,Uniform and Accreditation Centre,International Broadcast Centre,Main Press Centre,Brisbane Airport,Cairns Airport,Coolangatta Airport,Townsville Airport,Athlete Village Cairns,Athlete Village Townsville,Commonwealth Games Village,Commonwealth Games Village,Commonwealth Games Village,Cairns Games Family Hotel ,Cairns Media Hotel,Cairns Technical Officials Hotel,Games Family Hotel,Townsville Media Hotel,Townsville Technical Officials Hotel,Media Transport Mall,Vehicle Search Point,GOLDOC HQ,Fleet Depot Central,Fleet Depot North,Bus Depot 1,Bus Depot 2,,
,CODE,LEAD FA,CODE,BATCH,ARTWORKED,APPROVED,PICTO 1,PICTO 2,PICTO 3,SIGN TEXT,"INDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOORINDOOR / 
 OUTDOOR",LOCATION DETAIL ,PRODUCT REQUESTED,GOLDOC PRODUCT ALLOCATED,FIXING, Comments,BEL ,BLB,CCV,CAP,CSL,STA,CSW,CSB,COL,CSC,CUR ,GAC,GCE,GHC,NER ,OXN,OXB,OXS,OXT,QSV,ROB ,SBP,TEN ,AYC,BND,GTC,GUS - P,GUS-T,CBS,MHB,OBD,PSO,RIS,RBS,SHC - 1 GY,SHC 2 -WR,TSS - B,TSS - R,TVS,UAC,IBC,MPC,BNE,CNS,OOL,TSV,RVC,RVT,CGV (TVT),CGV (TFT),CGV (TBS),CFH,CMH,CTO,GFH,TMH,TTO,MTM,VSP,GHQ,FDC,FDN,BDB,BDR,TOTAL,
,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACM,ACM-002,1,Steph 25/07,Aude 15/8,,,,Accommodation Help Desk,Indoor ,,Fascia - Desk,PA-DESK,Freestanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,1,
,,ACM,ACM-003,1,Steph 25/07,Aude 15/8,,,,Authorised Guests Only ,Outdoor,,Fascia - Door,PA-DOOR,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,8,
,,,,,,,,,,,,,,,,,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,
,,ACR,,,,,,,,For entries prefaced with 'ACP': 'Access Control Point' (is the actual 'sign text' to appear on the sign for each of the following entries/purposes below); When and how will we scope design and required code decals/labels to be applied to each ACP board?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACR,ACR-001,1,Stu-31/7,Aude 15/8,,,,Access Control Point,Both,,Freestanding - M,FR-S,Freestanding,,2,4,4,5,,,,,2,2,3,2,2,2,1,2,,,,2,2,2,2,2,,1,2,1,1,1,,1,1,2,1,,1,,1,,,,,,,,,,3,,,,,,,,,,,6,,,,,63,
,,ACR,ACR-002,1,Stu-31/7,Aude 15/8,,,,Access Control Point,Both,,Panel - L,PI-L,Wall mounted,,21,11,18,83,,,,,20,15,16,25,33,17,15,17,,,,14,27,19,15,1,1,1,1,1,1,2,,2,1,2,2,1,1,,1,,,,,,,,1,1,15,,,,,,,,,,,40,,,,,441,
,,ACR,ACR-003,1,Stu-31/7,Aude 15/8,,,,Access Control Point,Both,,Panel - M,PI-M,Wall mounted,,25,17,14,86,,,,,13,24,10,41,10,15,19,41,,,,26,20,19,18,,1,,,,,,,,,1,,,1,,,,,,,,,,4,4,3,,,,,,,,,,,40,,,,,452,
,,ACR,ACR-004,1,Stu-31/7,Aude 15/8,,,,Access Control Point,Both,,Panel - S,PI-S,Wall mounted,,19,6,6,17,,,,,7,9,5,16,10,15,8,39,,,,13,7,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,214,
,,ACR,ACR-005,Bespoke,Steph 09/08,Aude 21/09,,,,Access Control Point,,,,Bespoke - 0.3x0.4,Wall mounted,,13,13,5,23,,,,,8,13,3,31,10,9,7,38,,,,19,6,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,235,
,,ACR,ACR-006,2,Steph 28/08,MH 29/9,,,,Authorised Access Only,Indoor,,Fascia - Door,PA-DOOR,Wall mounted,,5,2,5,2,,,,,2,2,2,2,2,2,2,10,,,,5,2,2,5,1,1,1,1,1,1,1,,1,1,1,2,2,1,,1,20,,,,,,,,,1,,,,,,,,,,,,,,,,89,
