LEAD FA,CODE,ARTWORK BATCH,ARTWORKED,APPROVED,SENT TO PRODUCTION ,PRODUCED,COMMENT,PICTO 1,PICTO 2,PICTO 3,SIGN TEXT,GOLDOC PRODUCT ALLOCATED,MATERIAL,WIDTH (in m),HEIGHT(in m) ,FIXING, Comments,BEL ,BLB,CCV,CAP,CSL,STA,CSW,CSB,COL,CSC,CUR ,GAC,GCE,GHC,NER ,OXN,OXB,OXS,OXT,QSV,ROB ,SBP,TEN ,AYC,BND,GTC,GUS - P,GUS-T,CBS,MHB,OBD,PSO,RIS,RBS,SHC - 1 GY,SHC 2 -WR,TSS - B,TSS - R,TVS,UAC,IBC,MPC,BNE,CNS,OOL,TSV,RVC,RVT,CGV (TVT),CGV (TFT),CGV (TBS),CFH,CMH,CTO,GFH,TMH,TTO,MTM,VSP,GHQ,FDC,FDN,BDB,BDR,TOTAL
ACM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM,ACM-002,1,Steph 25/07,Aude 15/8,,,,,,,Accommodation Help Desk,PA-DK,Corflute,0.297,0.50,Freestanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,1
ACM,ACM-003,1,Steph 25/07,Aude 15/8,,,,,,,Authorised Guests Only ,PA-DR,Corflute,0.297,0.21,Wall mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502
ACR,,,,,,,,,,,For entries prefaced with 'ACP': 'Access Control Point' (is the actual 'sign text' to appear on the sign for each of the following entries/purposes below); When and how will we scope design and required code decals/labels to be applied to each ACP board?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACR,ACR-001,1,Stu-31/7,Aude 15/8,,,,,,,Access Control Point,FR-S,Structure,0.6x0.37,1.20,Freestanding,,2,3,1,8,,,,,2,1,2,2,6,1,4,8,,,,1,1,2,1,0,,0,0,1,0,0,,1,0,2,0,,1,,0,,,,,,,,,,3,,,,,,,,,,,,,,,,53
ACR,ACR-002,1,Stu-31/7,Aude 15/8,,,,,,,Access Control Point,PI-L,Corflute,0.6,0.90,Wall mounted,,19,8,7,51,,,,,10,9,8,12,8,17,8,25,,,,14,9,7,11,2,1,1,2,1,1,2,,2,1,2,2,1,1,,1,,,,,,,,2,2,0,,,,,,,,,,,,,,,,247
ACR,ACR-003,1,Stu-31/7,Aude 15/8,,,,,,,Access Control Point,PI-M,Corflute,0.6,0.60,Wall mounted,,21,6,11,61,,,,,5,20,4,32,9,15,14,54,,,,26,16,28,12,,0,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,334
ACR,ACR-004,1,Stu-31/7,Aude 15/8,,,,,,,Access Control Point,PI-S,Corflute,0.6,0.40,Wall mounted,,18,14,27,108,,,,,18,10,20,12,42,15,10,13,,,,13,33,8,15,,,,,,,,,,,,,,,,,,,,,,,,1,1,13,,,,,,,,,,,,,,,,391
ACR,ACR-005,Bespoke,Steph 09/08,Aude 21/09,,,,,,,Access Control Point,BSP-0.3x0.4,Corflute,0.3,0.40,Wall mounted,,14,11,8,66,,,,,12,14,6,20,12,10,6,39,,,,20,13,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274
