Venue,Mgr,Sport,LOC,KOP Description,FK,FK2,W,H,D,A sqm,Product Description,Product Finishing/Construction,Unit,Qty,Cost By,KOP Code Transferred,Quantity Transferred,Artwork Requested,Artworked,Comments
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 139,SPEQ By Manufacturer - Small Bore Range Flags,,,50,400,,,,,Item,0,SPEQ,,0,,,
BLB - Broadbeach Bowls Club,Cameron Graham,LBO - Lawn Bowls,BLB 096,SPEQ By Manufacturer - Rink Numbers,,,,,,,,,Item,2,SPEQ,,0,,,"2 sets of 30, numbers 1- 28"
BLB - Broadbeach Bowls Club,Cameron Graham,LBO - Lawn Bowls,BLB 093,SPEQ By Manufacturer - Lawn Bowls Jack,,,,,,,,,Item,60,SPEQ,,0,,,
BLB - Broadbeach Bowls Club,Cameron Graham,LBO - Lawn Bowls,BLB 095,SPEQ By Manufacturer - Foot Mat,,,,,,,,,Item,24,SPEQ,,0,,,
CCV - Cairns Convention Centre,Rachel Britton,BKB - Basketball,CCV 098,SPEQ By Manufacturer - Basketball Womens Size 6,,,,,,,,,Item,0,SPEQ,,0,,,
CCV - Cairns Convention Centre,Rachel Britton,BKB - Basketball,CCV 099,SPEQ By Manufacturer - Basketball Mens Size 7,,,,,,,,,Item,0,SPEQ,,0,,,
COL - Coolangatta Beachfront,Rob Stalling,VBV - Beach Volleyball,COL 092,SPEQ By Manufacturer - Ball Bag,,,,,,,,,Item,50,SPEQ,,0,,,
COL - Coolangatta Beachfront,Rob Stalling,VBV - Beach Volleyball,COL 094,SPEQ By Manufacturer - Beach Volleyball,,,,,,,,,Item,300,SPEQ,,0,,,
COL - Coolangatta Beachfront,Rob Stalling,VBV - Beach Volleyball,COL 117,SPEQ By Manufacturer - Court Lines,,,,,,,,,Item,0,SPEQ,,0,,,
COL - Coolangatta Beachfront,Rob Stalling,VBV - Beach Volleyball,COL 093,SPEQ By Manufacturer - Flag Line Judge,,,,,,,,,Item,20,SPEQ,,0,,,
