Venue,Mgr,Sport,LOC,KOP Description,FK,FK2,W,H,D,A sqm,Product Description,Product Finishing/Construction,Unit,Qty,Cost By,KOP Code Transferred,Quantity Transferred,Artwork Requested,Artworked,Comments
CUR - Currumbin Beachfront,Cameron Graham,CRD - Cycling Road ,CUR 104,Custom - 1km to go Sign,,,750,2250,,,"Freestanding, road marker, large","Free standing, metal frame with base, corflute panels both sides(large)",SQM,1,SPEQ,,0,,,"Design: White text, red triangle & Tangerine background"
SBP - Southport Broadwater Parklands ,Rob Stalling,ATH - Athletics - Marathon,SBP 130,Custom - 21.1km Marker,,,750,2250,,,"Freestanding, road marker, large","Free standing, metal frame with base, corflute panels both sides(large)",SQM,1,SPEQ,,0,,,
CGV - Commonwealth Games Village,Ben Treby,,CGV 275,Custom - Athlete ACR Gantry Back View,,,,,,,Self Adhesive Vinyl,,SQM,1,SPEQ,,,,,FOH/ BOH Accreditation gantry on Village Way - spec TBC - gantry not yet scoped
CGV - Commonwealth Games Village,Ben Treby,,CGV 279,Custom - Athlete ACR Gantry Front View,,,,,,,Self Adhesive Vinyl,,SQM,1,SPEQ,,,,,FOH/ BOH Accreditation gantry on Village Way - spec TBC - gantry not yet scoped
OXS - Oxenford Studios - Squash,Amy Jago-Stone,SQU - Squash,OXS 042,Custom - Box Racket Bag,,,1000,400,400,,"Corflute, single sided",,SQM,26,SPEQ,,0,,,Constructed in the shape of a rectangle box
NER - Nerang Mountain Bike Trails ,Amy Jago-Stone,MTB - Cycling Mountain Bike,NER 087,Custom - Finish Gantry Front View,,,,,,,Self Adhesive Vinyl,,SQM,1,SPEQ,,0,,,"Design Sides: Emblem, Wing
Design Top: FINISH, InkDesign Sides: Emblem, Wing
Design Top: FINISH, Ink"
CGV - Commonwealth Games Village,Ben Treby,,CGV 276,Custom - Fleet Depot Car Cut Out,,,2000,2000,,,Corflute - or similar product,,Item,3,FLEET,,0,,,"$1000 allowed per unit, total 3 units"
FDC - Fleet Depot Central,Ben Treby,,FDC 008,Custom - Fleet Depot Car Cut Out,,,2000,2000,,,Corflute Structure,,Item,5,FLEET,,0,,,To be delivered to Fleet Depot
CUR - Currumbin Beachfront,Cameron Graham,CRD - Cycling Road ,CUR 103,Custom - Hot Seat,,,,,,,,,SQM,1,SPEQ,,0,,,Design: TBC
SBP - Southport Broadwater Parklands ,Rob Stalling,ATH - Athletics - Marathon,SBP 129,Custom - Km Markers,,,450,750,,,"Freestanding, road marker, medium","Free standing, metal frame with base, corflute panels both sides",SQM,42,SPEQ,,0,,,"Design: Emblem, White numbers 1 to 42km, Sun. Markers to be positioned every km along 42 route."
